dst_address_id_group,count,currency
2634,8917382,BTC
3464,6852099,BTC
11552,5410300,BTC
140,2561016,BTC
3465,2333996,BTC
3335,1987464,BTC
3689,1967439,BTC
16966,1746213,BTC
19907,1507657,BTC
1518,1502809,BTC
20198,1369935,BTC
3371,1306714,BTC
20433,1290702,BTC
20322,1272096,BTC
20306,1255937,BTC
19940,1246375,BTC
20027,1217246,BTC
20556,1178201,BTC
20110,1150028,BTC
19816,1133368,BTC
20143,1123513,BTC
20539,1094869,BTC
13112,1092225,BTC
20475,1073745,BTC
1275,1066980,BTC
11461,1062391,BTC
141,1047068,BTC
19692,1030368,BTC
20573,1022355,BTC
20246,1010161,BTC
10999,1005027,BTC
31289,1000250,BTC
19680,997699,BTC
20649,986163,BTC
11139,983442,BTC
20042,975663,BTC
19996,948962,BTC
20522,940867,BTC
19483,940749,BTC
20589,936909,BTC
30533,933567,BTC
19430,927194,BTC
2829,926159,BTC
20212,915339,BTC
14547,914120,BTC
20667,908123,BTC
3788,904704,BTC
19891,897904,BTC
20012,886514,BTC
20291,883459,BTC
1274,874582,BTC
14645,873427,BTC
20183,861234,BTC
10901,858458,BTC
14208,853980,BTC
19834,852665,BTC
19923,821860,BTC
20757,821521,BTC
14944,816161,BTC
14476,812203,BTC
14943,807498,BTC
20701,805273,BTC
11462,800172,BTC
3297,799823,BTC
6086,795748,BTC
19799,794565,BTC
2796,786913,BTC
20458,786404,BTC
20683,784566,BTC
20459,784496,BTC
19892,777924,BTC
30997,770946,BTC
30595,762234,BTC
14151,761475,BTC
2368,758731,BTC
14427,755748,BTC
26539,752103,BTC
20958,748451,BTC
19664,742998,BTC
20127,734121,BTC
13649,729596,BTC
14149,728039,BTC
20081,724162,BTC
20756,722339,BTC
12220,719821,BTC
19512,718307,BTC
20775,715055,BTC
13848,707753,BTC
14323,705720,BTC
13523,704592,BTC
1114,702642,BTC
14769,693538,BTC
10689,689567,BTC
20648,689188,BTC
11547,688256,BTC
20700,685649,BTC
20354,684233,BTC
11140,681123,BTC
29798,677925,BTC
20777,677338,BTC
11094,677083,BTC
19579,674962,BTC
12021,674548,BTC
13139,674338,BTC
19087,673727,BTC
20128,672406,BTC
20774,671028,BTC
20144,670744,BTC
20845,668613,BTC
3979,668098,BTC
19800,665963,BTC
19679,665326,BTC
11093,663131,BTC
31424,661945,BTC
30424,654625,BTC
13107,653697,BTC
20355,651584,BTC
13269,648148,BTC
19707,647290,BTC
19612,645014,BTC
12899,641081,BTC
29149,640522,BTC
20230,640081,BTC
19724,639348,BTC
20339,634853,BTC
13903,634332,BTC
28677,632830,BTC
13253,631323,BTC
30748,630600,BTC
19875,626875,BTC
30892,624446,BTC
19303,624042,BTC
20877,622578,BTC
20806,620508,BTC
20305,619725,BTC
19497,619022,BTC
30341,618646,BTC
30453,618478,BTC
4954,618193,BTC
18833,617593,BTC
13869,616300,BTC
20095,615927,BTC
3075,614943,BTC
30691,613810,BTC
19429,612554,BTC
20666,612183,BTC
13929,612021,BTC
29103,611057,BTC
13025,609725,BTC
30995,608520,BTC
20860,607203,BTC
20434,606201,BTC
19723,606125,BTC
1861,605505,BTC
20011,605154,BTC
20762,604950,BTC
3182,604737,BTC
19496,603955,BTC
29107,603232,BTC
20759,601828,BTC
19835,601367,BTC
19626,600200,BTC
20494,599991,BTC
18919,599689,BTC
2295,598031,BTC
15032,595393,BTC
19627,593403,BTC
28954,593189,BTC
12654,590798,BTC
20791,590755,BTC
31143,583455,BTC
1279,582724,BTC
19484,582375,BTC
20340,582313,BTC
20702,580711,BTC
19595,580624,BTC
4074,579898,BTC
494,578482,BTC
3336,576628,BTC
13568,574692,BTC
20043,574382,BTC
2402,573242,BTC
21133,570491,BTC
26768,569414,BTC
26759,568134,BTC
20761,565345,BTC
19485,565202,BTC
11932,564925,BTC
13943,563892,BTC
12121,563593,BTC
29563,562067,BTC
20442,561264,BTC
21116,558977,BTC
4317,558017,BTC
21077,557826,BTC
13566,555249,BTC
20863,555030,BTC
31044,553583,BTC
31441,552970,BTC
13921,549987,BTC
30120,549667,BTC
15112,549262,BTC
19997,548082,BTC
29104,546959,BTC
31201,545618,BTC
13946,542778,BTC
29705,542731,BTC
13863,540714,BTC
20910,540551,BTC
20684,540024,BTC
29283,539529,BTC
19469,537944,BTC
20742,537365,BTC
31261,537181,BTC
5423,536587,BTC
12316,536178,BTC
30269,533118,BTC
15184,531354,BTC
29756,530718,BTC
15374,530374,BTC
2284,529242,BTC
13975,528983,BTC
5518,528038,BTC
10902,527553,BTC
14797,527245,BTC
20758,525066,BTC
20631,524949,BTC
13923,524366,BTC
1086,519095,BTC
1667,519062,BTC
4844,518060,BTC
29119,517624,BTC
10797,516568,BTC
4435,516143,BTC
3663,512534,BTC
30944,512527,BTC
30842,511345,BTC
29848,511344,BTC
13878,511006,BTC
29612,510925,BTC
31130,510333,BTC
19467,510226,BTC
19567,509757,BTC
14200,508895,BTC
3675,506432,BTC
17546,505886,BTC
31153,503621,BTC
